År,Myndighet,Anslagsnamn,Anslagspostsnamn,Utgiftsområdesnamn,Organisationsnummer,Total,,,Utfall januari,Utfall februari,Utfall mars,Utfall april,Utfall maj,Utfall juni,Utfall juli,Utfall augusti,Utfall september,Utfall oktober,Utfall november,Utfall december
2022,Regeringskansliet,Statskontoret,Chefs- och ledningsutveckling,Samhällsekonomi och finansförvaltning,2021003831,0,,,"0,09120475","0,3232563","0,55407696","0,34796133","0,46232282","0,26295408","0,20976668","0,09316897","0,58852117","0,69380427","0,20551019","0,96166129"
2022,Kammarkollegiet,Statskontoret,Förvaltningspolitiskt utvecklingsarbete,Samhällsekonomi och finansförvaltning,2021000829,1,,,0,0,0,0,0,0,0,0,0,0,1,0
2022,Kammarkollegiet,Kammarkollegiet,Kammarkollegiet,Samhällsekonomi och finansförvaltning,2021000829,6790131069,,,"614,455,511","624,868,438","774,105,467","71,706,746","660,275,732","770,424,619","672,346,083","550,766,732","673,886,959","73,301,842","734,640,242","569,352,698"
2022,Kammarkollegiet,Kammarkollegiet,Offentlig omställningsorganisation,Samhällsekonomi och finansförvaltning,2021000829,3182385592,,,"0,464481","103,820,458","288,944,772","198,063,989","312,689,815","284,261,218","281,037,555","117,058,438","311,727,532","405,618,841","335,242,741","543,920,233"
2022,Finansinspektionen,Finansinspektionens avgifter till EU:s tillsynsmyndigheter,Finansinspektionens avgifter till EU:s tillsynsmyndigheter,Samhällsekonomi och finansförvaltning,2021004235,1786705326,,,0,"349,791,137","0,02972263","248,050,792","152,540,268","152,190,549","1,530,033","14,288,303","180,101,248","363,129,804","111,219,879","213,863,313"
2022,Regeringskansliet,Arbetsgivarpolitiska frågor,Arbetsgivarpolitiska frågor (Finansdepartementet),Samhällsekonomi och finansförvaltning,2021003831,0,,,0,0,0,0,0,"0,458241","0,0051",0,"0,0039","0,18444",0,"0,255284"
2022,Kammarkollegiet,Arbetsgivarpolitiska frågor,Vissa nämnder inom det arbetsgivarpolitiska området - del till KAMK,Samhällsekonomi och finansförvaltning,2021000829,0,,,0,"0,01057058","0,05484365",0,0,"0,05452383",0,"0,00729338","0,0564864",0,"0,0141759","0,05234667"
2022,Statens tjänstepensionsverk,Statliga tjänstepensioner m.m.,Statliga tjänstepensioner m.m.,Samhällsekonomi och finansförvaltning,2021000928,1.25891E+12,,,"93,314,448,736","94,316,245,524","135,702,204,033","145,441,722,177","89,209,678,065","13,669,060,164","94,871,570,375","137,416,342,632","90,053,818,297","133,771,489,764","94,541,989,757","136,599,490,665"
2022,Finanspolitiska rådet,Finanspolitiska rådet,Finanspolitiska rådet,Samhällsekonomi och finansförvaltning,2021005687,339086265,,,"0,62326853","0,73165342","0,76659616","109,987,947","122,454,882","0,83520955","0,74125357","0,75012016","0,90160497","0,95901407","0,98908969","106,643,436"
2022,Konjunkturinstitutet,Konjunkturinstitutet,Konjunkturinstitutet,Samhällsekonomi och finansförvaltning,2021000845,6461335564,,,"560,280,015","592,086,551","630,828,228","580,982,035","50,434,206","520,629,561","486,113,488","582,073,761","567,924,053","601,222,857","623,017,741","665,743,068"
2022,Ekonomistyrningsverket,Ekonomistyrningsverket,Ekonomistyrningsverket förvaltning,Samhällsekonomi och finansförvaltning,2021005026,13619874875,,,"1,316,885,437","129,912,867","1,355,988,046","12,997,061","1,342,479,299","1,637,136,993","1,491,650,219","1,391,752,785","1,364,333,975","1,423,964,319","145,854,749","2,006,919,125"
2022,Ekonomistyrningsverket,Ekonomistyrningsverket,RK Statsbudgetstöd,Samhällsekonomi och finansförvaltning,2021005026,1946971189,,,"149,625,337","176,467,971","187,670,519","163,164,228","168,679,855","185,247,101","11,686,762","171,359,209","198,433,121","215,988,098","184,994,311","133,654,677"
